==== LOG START ====
[1763917961715 ms] POS 50.000 50.000
[1763917961716 ms] VEL 0.000 0.000
[1763917961737 ms] POS 50.000 50.000
[1763917961737 ms] VEL 0.000 0.000
[1763917961758 ms] POS 50.000 50.000
[1763917961760 ms] VEL 0.000 0.000
[1763917961781 ms] POS 50.000 50.000
[1763917961781 ms] VEL 0.000 0.000
[1763917961802 ms] POS 50.000 50.000
[1763917961803 ms] VEL 0.000 0.000
[1763917961824 ms] POS 50.000 50.000
[1763917961824 ms] VEL 0.000 0.000
[1763917961845 ms] POS 50.000 50.000
[1763917961846 ms] VEL 0.000 0.000
[1763917961867 ms] POS 50.000 50.000
[1763917961896 ms] VEL 0.000 0.000
[1763917961917 ms] POS 50.000 50.000
[1763917961918 ms] VEL 0.000 0.000
[1763917961939 ms] POS 50.000 50.000
[1763917961942 ms] VEL 0.000 0.000
[1763917961963 ms] POS 50.000 50.000
[1763917961965 ms] VEL 0.000 0.000
[1763917961986 ms] POS 50.000 50.000
[1763917961988 ms] VEL 0.000 0.000
[1763917962013 ms] POS 50.000 50.000
[1763917962013 ms] VEL 0.000 0.000
[1763917962034 ms] POS 50.000 50.000
[1763917962035 ms] VEL 0.000 0.000
[1763917962056 ms] POS 50.000 50.000
[1763917962056 ms] VEL 0.000 0.000
[1763917962077 ms] POS 50.000 50.000
[1763917962078 ms] VEL 0.000 0.000
[1763917962099 ms] POS 50.000 50.000
[1763917962100 ms] VEL 0.000 0.000
[1763917962120 ms] POS 50.000 50.000
[1763917962121 ms] VEL 0.000 0.000
[1763917962142 ms] POS 50.000 50.000
[1763917962143 ms] VEL 0.000 0.000
[1763917962163 ms] POS 50.000 50.000
[1763917962164 ms] VEL 0.000 0.000
[1763917962185 ms] POS 50.000 50.000
[1763917962185 ms] VEL 0.000 0.000
[1763917962206 ms] POS 50.000 50.000
[1763917962207 ms] VEL 0.000 0.000
[1763917962228 ms] POS 50.000 50.000
[1763917962228 ms] VEL 0.000 0.000
[1763917962249 ms] POS 50.000 50.000
[1763917962249 ms] VEL 0.000 0.000
[1763917962271 ms] POS 50.000 50.000
[1763917962271 ms] VEL 0.000 0.000
[1763917962292 ms] POS 50.000 50.000
[1763917962293 ms] VEL 0.000 0.000
[1763917962314 ms] POS 50.000 50.000
[1763917962314 ms] VEL 0.000 0.000
[1763917962336 ms] POS 50.000 50.000
[1763917962336 ms] VEL 0.000 0.000
[1763917962357 ms] POS 50.000 50.000
[1763917962359 ms] VEL 0.000 0.000
[1763917962380 ms] POS 50.000 50.000
[1763917962381 ms] VEL 0.000 0.000
[1763917962402 ms] POS 50.000 50.000
[1763917962403 ms] VEL 0.000 0.000
[1763917962424 ms] POS 50.000 50.000
[1763917962427 ms] VEL 0.000 0.000
[1763917962449 ms] POS 50.000 50.000
[1763917962449 ms] VEL 0.000 0.000
[1763917962471 ms] POS 50.000 50.000
[1763917962471 ms] VEL 0.000 0.000
[1763917962492 ms] POS 50.000 50.000
[1763917962496 ms] VEL 0.000 0.000
[1763917962519 ms] POS 50.000 50.000
[1763917962520 ms] VEL 0.000 0.000
[1763917962541 ms] POS 50.000 50.000
[1763917962541 ms] VEL 0.000 0.000
[1763917962562 ms] POS 50.000 50.000
[1763917962563 ms] VEL 0.000 0.000
[1763917962584 ms] POS 50.000 50.000
